ano,nivel1,nivel2,nivel3,nivel4,nivel5,nivel6,valor_previsto,valor_arrecadado
2016,RECEITA TRIBUTARIA,IMPOSTOS,IMPOSTOS SOBRE A PRODUCAO E A CIRCULACAO,IMPOSTO SOBRE SERVICOS DE QUALQUER NATUREZA,IMPOSTO SOBRE SERVICOS DE QUALQUER NATUREZA,IMPOSTO SOBRE SERVICOS DE QUALQUER NATUREZA,5855471623.0,3425685324.38
2016,RECEITA TRIBUTARIA,IMPOSTOS,IMPOSTOS SOBRE A PRODUCAO E A CIRCULACAO,IMPOSTO SOBRE SERVICOS DE QUALQUER NATUREZA,IMPOSTO SOBRE SERVICOS DE QUALQUER NATUREZA,IMPOSTO SOBRE SERVICOS DE QUALQUER NATUREZA-INCENTIVOS FISCAIS-PROJETOS CULTURAIS,53523585.0,48163278.76
2016,RECEITA TRIBUTARIA,IMPOSTOS,IMPOSTOS SOBRE A PRODUCAO E A CIRCULACAO,IMPOSTO SOBRE SERVICOS DE QUALQUER NATUREZA,IMPOSTO SOBRE SERVICOS DE QUALQUER NATUREZA,IMPOSTO SOBRE SERVICOS DE QUALQUER NATUREZA -ISS RETENCAO LEI 4452/06,395275278.0,243974941.5
2016,RECEITA TRIBUTARIA,IMPOSTOS,IMPOSTOS SOBRE PATRIMONIO E A RENDA,IMPOSTO SOBRE A RENDA E PROVENTOS DE QUALQUER NATUREZA,IMPOSTO DE RENDA RETIDO NA FONTE SOBRE OS RENDIMENTOS DO TRABALHO,IRRF-FOLHA DE PAGAMENTO-PODER EXECUTIVO,696699036.0,501437709.39
2016,RECEITA TRIBUTARIA,IMPOSTOS,IMPOSTOS SOBRE PATRIMONIO E A RENDA,IMPOSTO SOBRE A RENDA E PROVENTOS DE QUALQUER NATUREZA,IMPOSTO DE RENDA RETIDO NA FONTE SOBRE OS RENDIMENTOS DO TRABALHO,IRRF-FOLHA DE PAGAMENTO-PODER LEGISLATIVO,81235134.0,54585097.55
2016,RECEITA TRIBUTARIA,IMPOSTOS,IMPOSTOS SOBRE PATRIMONIO E A RENDA,IMPOSTO SOBRE A RENDA E PROVENTOS DE QUALQUER NATUREZA,IMPOSTO DE RENDA RETIDO NA FONTE SOBRE OUTROS RENDIMENTOS,IMPOSTO DE RENDA RETIDO NA FONTE,22734481.0,18440414.3
2016,RECEITA TRIBUTARIA,IMPOSTOS,IMPOSTOS SOBRE PATRIMONIO E A RENDA,IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA,IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA,IMPOSTO PREDIAL,2190946884.0,1769286496.53
2016,RECEITA TRIBUTARIA,IMPOSTOS,IMPOSTOS SOBRE PATRIMONIO E A RENDA,IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA,IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA,IMPOSTO TERRITORIAL URBANO,57622563.0,85311118.8
2016,RECEITA TRIBUTARIA,IMPOSTOS,IMPOSTOS SOBRE PATRIMONIO E A RENDA,IMPOSTO SOBRE TRANSMISSAO INTER-VIVOS BENS IMOVEIS E DIREITOS REAIS S/ IMOVEIS,IMPOSTO SOBRE TRANSMISSAO INTER-VIVOS BENS IMOVEIS E DIREITOS REAIS S/ IMOVEIS,IMPOSTO SOBRE TRANSMISSAO INTER-VIVOS DE BENS IMOVEIS,662652148.0,358340064.87
2016,RECEITA TRIBUTARIA,TAXAS,TAXAS PELA PRESTACAO DE SERVICOS,TAXA DE LIMPEZA PUBLICA,TAXA DE LIMPEZA PUBLICA,TAXA DE COLETA DOMICILIAR DO LIXO,340059834.0,289857300.79
2016,RECEITA TRIBUTARIA,TAXAS,TAXAS PELO EXERCICIO DO PODER DE POLICIA,TAXA DE PUBLICIDADE COMERCIAL,TAXA DE PUBLICIDADE COMERCIAL,TAXA DE AUTORIZACAO DE PUBLICIDADE,8448613.0,6653721.14
2016,RECEITA TRIBUTARIA,TAXAS,TAXAS PELO EXERCICIO DO PODER DE POLICIA,TAXA DE FISCALIZACAO SANITARIA,TAXA DE FISCALIZACAO SANITARIA,TAXA DE INSPECAO SANITARIA,17142373.0,16172654.46
2016,RECEITA TRIBUTARIA,TAXAS,TAXAS PELO EXERCICIO DO PODER DE POLICIA,TAXA DE UTILIZACAO DE AREA DE DOMINIO PUBLICO,TAXA DE UTILIZACAO DE AREA DE DOMINIO PUBLICO,TAXA DE USO DE AREA PUBLICA,6114414.0,4716592.5
2016,RECEITA TRIBUTARIA,TAXAS,TAXAS PELO EXERCICIO DO PODER DE POLICIA,"TAXA LICENCA FUNCION. ESTABELEC. COMERCIAIS, INDUSTRIAIS E PRESTADOR DE SERVICOS","TAXA LICENCA FUNCION. ESTABELEC. COMERCIAIS, INDUSTRIAIS E PRESTADOR DE SERVICOS",TAXA DE LICENCA PARA ESTABELECIMENTO,20931461.0,15656626.98
2016,RECEITA TRIBUTARIA,TAXAS,TAXAS PELO EXERCICIO DO PODER DE POLICIA,"TAXA LICENCA FUNCION. ESTABELEC. COMERCIAIS, INDUSTRIAIS E PRESTADOR DE SERVICOS","TAXA LICENCA FUNCION. ESTABELEC. COMERCIAIS, INDUSTRIAIS E PRESTADOR DE SERVICOS",TAXA DE LICENC. E FISCAL.DE OBRAS REAL. EM LOGRAD.PUBLICOS,3953699.0,2424620.18
2016,RECEITA TRIBUTARIA,TAXAS,TAXAS PELO EXERCICIO DO PODER DE POLICIA,TAXA DE LICENCA PARA EXECUCAO DE OBRAS,TAXA DE LICENCA PARA EXECUCAO DE OBRAS,TAXA DE OBRAS EM AREAS PARTICULARES,33868680.0,16359589.33
2016,RECEITA TRIBUTARIA,TAXAS,TAXAS PELO EXERCICIO DO PODER DE POLICIA,OUTRAS TAXAS PELO EXERCICIO DO PODER DE POLICIA,OUTRAS TAXAS PELO EXERCICIO DO PODER DE POLICIA,TAXA DE FISCALIZACAO DE CEMITERIOS,220596.0,490834.58
2016,RECEITA TRIBUTARIA,TAXAS,TAXAS PELO EXERCICIO DO PODER DE POLICIA,OUTRAS TAXAS PELO EXERCICIO DO PODER DE POLICIA,OUTRAS TAXAS PELO EXERCICIO DO PODER DE POLICIA,TAXA DE FISCALIZACAO DE TRANSPORTE DE PASSAGEIROS,12780482.0,9980785.9
2016,RECEITAS DE CONTRIBUICOES,CONTRIBUICOES SOCIAIS,CONTRIBUICOES SOCIAIS,CONTRIBUICOES PARA O REGIME PROPRIO DE PREVIDENCIA DO SERVIDOR PUBLICO,CONTRIBUICAO DE SERVIDOR ATIVO CIVIL,CONTRIBUICAO DE SERVIDOR ATIVO CIVIL - PODER EXECUTIVO,487555500.0,289301799.63
